,dependency,doc_id,lemmatized,parent_id,sentence_id,tag,word,word_id
48,nmod,0.0,декабрь,11,2.0,NOUN,декабре,15
49,amod,0.0,2015,17,2.0,NUM,2015,16
50,nmod,0.0,год,15,2.0,NOUN,года,17
51,punct,0.0,",",17,2.0,PUNCT,",",18
52,ROOT,0.0,определять,0,2.0,VERB,определяет,19
53,amod,0.0,мировой,21,2.0,ADJ,мировой,20
54,dobj,0.0,план,19,2.0,NOUN,план,21
55,dobj,0.0,действие,21,2.0,NOUN,действий,22
56,case,0.0,по,24,2.0,ADP,по,23
57,nmod,0.0,сдерживание,22,2.0,NOUN,сдерживанию,24
58,amod,0.0,глобальный,26,2.0,ADJ,глобального,25
59,dobj,0.0,потепление,24,2.0,NOUN,потепления,26
60,punct,0.0,.,19,2.0,PUNCT,.,27
61,nsubj,0.0,оно,3,3.0,PRON,Оно,1
62,neg,0.0,не,3,3.0,PART,не,2
63,ROOT,0.0,предполагать,0,3.0,VERB,предполагает,3
64,dobj,0.0,отказ,3,3.0,NOUN,отказа,4
65,case,0.0,от,7,3.0,ADP,от,5
66,amod,0.0,ископаемое,7,3.0,ADJ,ископаемого,6
67,dobj,0.0,топливо,4,3.0,NOUN,топлива,7
68,cc,0.0,и,7,3.0,CONJ,и,8
69,conj,0.0,ограничение,7,3.0,NOUN,ограничения,9
70,dobj,0.0,выброс,9,3.0,NOUN,выбросов,10
71,amod,0.0,углекислый,12,3.0,ADJ,углекислого,11
72,dobj,0.0,газа,10,3.0,NOUN,газа,12
73,punct,0.0,.,3,3.0,PUNCT,.,13
74,advmod,0.0,однако,4,4.0,ADV,Однако,1
75,det,0.0,весь,3,4.0,DET,все,2
76,nsubj,0.0,сторона,4,4.0,NOUN,стороны,3
77,ROOT,0.0,должный,0,4.0,ADJ,должны,4
78,dep,0.0,принять,4,4.0,VERB,принять,5
79,dobj,0.0,мера,5,4.0,NOUN,меры,6
80,case,0.0,по,8,4.0,ADP,по,7
81,dobj,0.0,снижение,6,4.0,NOUN,снижению,8
82,dobj,0.0,выброс,8,4.0,NOUN,выбросов,9
83,punct,0.0,",",9,4.0,PUNCT,",",10
84,amod,0.0,технологический,12,4.0,ADJ,технологическому,11
85,conj,0.0,перевооружение,8,4.0,NOUN,перевооружению,12
86,cc,0.0,и,8,4.0,CONJ,и,13
87,conj,0.0,адаптация,8,4.0,NOUN,адаптации,14
88,case,0.0,к,16,4.0,ADP,к,15
89,nmod,0.0,изменение,14,4.0,NOUN,изменениям,16
90,dobj,0.0,климат,16,4.0,NOUN,климата,17
91,punct,0.0,.,4,4.0,PUNCT,.,18
92,nsubj,1.0,лидер,12,0.0,NOUN,Лидеры,1
93,dobj,1.0,страна,1,0.0,NOUN,стран,2
94,amod,1.0,большой,4,0.0,ADJ,большой,3
95,nmod,1.0,семёрка,2,0.0,NOUN,семерки,4
96,case,1.0,на,6,0.0,ADP,на,5
97,nmod,1.0,саммит,12,0.0,NOUN,саммите,6
98,case,1.0,в,9,0.0,ADP,в,7
99,amod,1.0,сицилийский,9,0.0,ADJ,сицилийском,8
100,nmod,1.0,город,12,0.0,NOUN,городе,9
101,nsubj,1.0,таормина,12,0.0,NOUN,Таормина,10
102,neg,1.0,не,12,0.0,PART,не,11
103,ROOT,1.0,смочь,0,0.0,VERB,смогли,12
104,xcomp,1.0,согласовать,12,0.0,VERB,согласовать,13
105,det,1.0,свой,15,0.0,DET,свою,14
106,dobj,1.0,позиция,13,0.0,NOUN,позицию,15
107,case,1.0,о,17,0.0,ADP,о,16
108,nmod,1.0,мера,15,0.0,NOUN,мерах,17
109,case,1.0,по,19,0.0,ADP,по,18
110,dobj,1.0,борьба,17,0.0,NOUN,борьбе,19
111,case,1.0,с,22,0.0,ADP,с,20
112,amod,1.0,глобальный,22,0.0,ADJ,глобальным,21
113,dobj,1.0,потепление,19,0.0,NOUN,потеплением,22
114,punct,1.0,",",22,0.0,PUNCT,",",23
115,parataxis,1.0,писать,12,0.0,VERB,пишет,24
116,case,1.0,в,26,0.0,ADP,в,25
117,nmod,1.0,суббота,24,0.0,NOUN,субботу,26
118,punct,1.0,",",26,0.0,PUNCT,",",27
119,nmod,1.0,27,24,0.0,NUM,27,28
120,nmod,1.0,май,28,0.0,NOUN,мая,29
121,punct,1.0,",",29,0.0,PUNCT,",",30
122,nsubj,1.0,агентство,24,0.0,NOUN,агентство,31
123,dobj,1.0,afp,31,0.0,NOUN,AFP,32
124,punct,1.0,.,12,0.0,PUNCT,.,33
125,nmod,1.0,причина,2,1.0,NOUN,Причиной,1
126,ROOT,1.0,стать,0,1.0,VERB,стала,2
127,nsubj,1.0,позиция,2,1.0,NOUN,позиция,3
128,nmod,1.0,президент,3,1.0,NOUN,президента,4
129,dobj,1.0,сша,4,1.0,NOUN,США,5
130,nmod,1.0,дональд,3,1.0,NOUN,Дональда,6
131,nmod,1.0,трамп,6,1.0,NOUN,Трампа,7
132,punct,1.0,",",7,1.0,PUNCT,",",8
133,advmod,1.0,скептически,10,1.0,ADV,скептически,9
134,amod,1.0,оценивать,6,1.0,VERB,оценивающего,10
135,amod,1.0,парижский,12,1.0,ADJ,Парижское,11
136,dobj,1.0,соглашение,10,1.0,NOUN,соглашение,12
137,case,1.0,по,14,1.0,ADP,по,13
138,nmod,1.0,климат,12,1.0,NOUN,климату,14
139,case,1.0,от,17,1.0,ADP,от,15
140,amod,1.0,2015,17,1.0,NUM,2015,16
141,nmod,1.0,год,12,1.0,NOUN,года,17
142,punct,1.0,",",17,1.0,PUNCT,",",18
143,case,1.0,в,20,1.0,ADP,в,19
144,nmod,1.0,соответствие,25,1.0,NOUN,соответствии,20
145,case,1.0,с,22,1.0,ADP,с,21
146,dobj,1.0,который,20,1.0,ADJ,которым,22
147,dobj,1.0,он,24,1.0,PRON,его,23
148,nsubj,1.0,участник,25,1.0,NOUN,участники,24
149,acl:relcl,1.0,должный,12,1.0,ADJ,должны,25
150,dep,1.0,ограничить,25,1.0,VERB,ограничить,26
151,dobj,1.0,выброс,26,1.0,NOUN,выбросы,27
152,amod,1.0,углекислый,29,1.0,ADJ,углекислого,28
153,nmod,1.0,газа,27,1.0,NOUN,газа,29
154,cc,1.0,и,26,1.0,CONJ,и,30
155,conj,1.0,принять,26,1.0,VERB,принять,31
156,amod,1.0,другой,33,1.0,ADJ,другие,32
157,dobj,1.0,мера,31,1.0,NOUN,меры,33
158,nmod,1.0,борьба,33,1.0,NOUN,борьбы,34
159,case,1.0,с,36,1.0,ADP,с,35
160,dobj,1.0,изменение,34,1.0,NOUN,изменениями,36
161,dobj,1.0,климат,36,1.0,NOUN,климата,37
162,punct,1.0,.,2,1.0,PUNCT,.,38
163,nsubj,2.0,лидер,12,0.0,NOUN,Лидеры,1
164,dobj,2.0,страна,1,0.0,NOUN,стран,2
165,amod,2.0,большой,4,0.0,ADJ,большой,3
166,nmod,2.0,семёрка,2,0.0,NOUN,семерки,4
167,case,2.0,на,6,0.0,ADP,на,5
168,nmod,2.0,саммит,12,0.0,NOUN,саммите,6
169,case,2.0,в,9,0.0,ADP,в,7
170,amod,2.0,сицилийский,9,0.0,ADJ,сицилийском,8
171,nmod,2.0,город,12,0.0,NOUN,городе,9
172,nsubj,2.0,таормина,12,0.0,NOUN,Таормина,10
173,neg,2.0,не,12,0.0,PART,не,11
174,ROOT,2.0,смочь,0,0.0,VERB,смогли,12
175,xcomp,2.0,согласовать,12,0.0,VERB,согласовать,13
176,det,2.0,свой,15,0.0,DET,свою,14
177,dobj,2.0,позиция,13,0.0,NOUN,позицию,15
178,case,2.0,о,17,0.0,ADP,о,16
179,nmod,2.0,мера,15,0.0,NOUN,мерах,17
180,case,2.0,по,19,0.0,ADP,по,18
181,dobj,2.0,борьба,17,0.0,NOUN,борьбе,19
182,case,2.0,с,22,0.0,ADP,с,20
183,amod,2.0,глобальный,22,0.0,ADJ,глобальным,21
184,dobj,2.0,потепление,19,0.0,NOUN,потеплением,22
185,punct,2.0,",",22,0.0,PUNCT,",",23
186,parataxis,2.0,писать,12,0.0,VERB,пишет,24
187,case,2.0,в,26,0.0,ADP,в,25
188,nmod,2.0,суббота,24,0.0,NOUN,субботу,26
189,punct,2.0,",",26,0.0,PUNCT,",",27
190,nmod,2.0,27,24,0.0,NUM,27,28
191,nmod,2.0,май,28,0.0,NOUN,мая,29
192,punct,2.0,",",29,0.0,PUNCT,",",30
193,nsubj,2.0,агентство,24,0.0,NOUN,агентство,31
194,dobj,2.0,afp,31,0.0,NOUN,AFP,32
195,punct,2.0,.,12,0.0,PUNCT,.,33
196,nmod,2.0,причина,2,1.0,NOUN,Причиной,1
197,ROOT,2.0,стать,0,1.0,VERB,стала,2
198,nsubj,2.0,позиция,2,1.0,NOUN,позиция,3
199,nmod,2.0,президент,3,1.0,NOUN,президента,4
200,dobj,2.0,сша,4,1.0,NOUN,США,5
201,nmod,2.0,дональд,3,1.0,NOUN,Дональда,6
202,nmod,2.0,трамп,6,1.0,NOUN,Трампа,7
203,punct,2.0,",",7,1.0,PUNCT,",",8
204,advmod,2.0,скептически,10,1.0,ADV,скептически,9
205,amod,2.0,оценивать,6,1.0,VERB,оценивающего,10
206,amod,2.0,парижский,12,1.0,ADJ,Парижское,11
207,dobj,2.0,соглашение,10,1.0,NOUN,соглашение,12
208,case,2.0,по,14,1.0,ADP,по,13
209,nmod,2.0,климат,12,1.0,NOUN,климату,14
210,case,2.0,от,17,1.0,ADP,от,15
211,amod,2.0,2015,17,1.0,NUM,2015,16
212,nmod,2.0,год,12,1.0,NOUN,года,17
213,punct,2.0,",",17,1.0,PUNCT,",",18
214,case,2.0,в,20,1.0,ADP,в,19
215,nmod,2.0,соответствие,25,1.0,NOUN,соответствии,20
216,case,2.0,с,22,1.0,ADP,с,21
217,dobj,2.0,который,20,1.0,ADJ,которым,22
218,dobj,2.0,он,24,1.0,PRON,его,23
219,nsubj,2.0,участник,25,1.0,NOUN,участники,24
220,acl:relcl,2.0,должный,12,1.0,ADJ,должны,25
221,dep,2.0,ограничить,25,1.0,VERB,ограничить,26
222,dobj,2.0,выброс,26,1.0,NOUN,выбросы,27
223,amod,2.0,углекислый,29,1.0,ADJ,углекислого,28
224,nmod,2.0,газа,27,1.0,NOUN,газа,29
225,cc,2.0,и,26,1.0,CONJ,и,30
226,conj,2.0,принять,26,1.0,VERB,принять,31
227,amod,2.0,другой,33,1.0,ADJ,другие,32
228,dobj,2.0,мера,31,1.0,NOUN,меры,33
229,nmod,2.0,борьба,33,1.0,NOUN,борьбы,34
230,case,2.0,с,36,1.0,ADP,с,35
231,dobj,2.0,изменение,34,1.0,NOUN,изменениями,36
232,dobj,2.0,климат,36,1.0,NOUN,климата,37
233,punct,2.0,.,2,1.0,PUNCT,.,38
234,nsubj,3.0,президент,5,0.0,NOUN,Президент,1
235,dobj,3.0,сша,1,0.0,NOUN,США,2
236,appos,3.0,дональд,1,0.0,NOUN,Дональд,3
237,name,3.0,трамп,3,0.0,NOUN,Трамп,4
238,ROOT,3.0,заявить,0,0.0,VERB,заявил,5
239,punct,3.0,",",5,0.0,PUNCT,",",6
240,mark,3.0,что,8,0.0,SCONJ,что,7
241,advcl,3.0,принять,5,0.0,VERB,примет,8
242,advmod,3.0,окончательно,8,0.0,ADV,окончательно,9
243,dobj,3.0,решение,8,0.0,NOUN,решение,10
244,case,3.0,насчёт,13,0.0,ADP,насчет,11
245,amod,3.0,парижский,13,0.0,ADJ,Парижского,12
246,nmod,3.0,соглашение,10,0.0,NOUN,соглашения,13
247,case,3.0,по,15,0.0,ADP,по,14
248,nmod,3.0,климат,13,0.0,NOUN,климату,15
249,case,3.0,на,18,0.0,ADP,на,16
250,amod,3.0,следующий,18,0.0,ADJ,следующей,17
251,nmod,3.0,неделя,13,0.0,NOUN,неделе,18
252,punct,3.0,.,5,0.0,PUNCT,.,19
253,case,3.0,о,2,1.0,ADP,Об,1
254,nmod,3.0,это,3,1.0,NOUN,этом,2
255,ROOT,3.0,сообщаться,0,1.0,VERB,сообщается,3
256,case,3.0,в,5,1.0,ADP,в,4
257,nmod,3.0,twitter,3,1.0,NOUN,Twitter,5
258,nmod,3.0,президент,5,1.0,NOUN,президента,6
259,dobj,3.0,сша,6,1.0,NOUN,США,7
260,punct,3.0,.,3,1.0,PUNCT,.,8
261,nsubj,3.0,я,2,2.0,PRON,Я,1
262,ROOT,3.0,принять,0,2.0,VERB,приму,2
263,amod,3.0,окончательный,4,2.0,ADJ,окончательное,3
264,dobj,3.0,решение,2,2.0,NOUN,решение,4
265,case,3.0,по,7,2.0,ADP,по,5
266,amod,3.0,парижский,7,2.0,ADJ,Парижскому,6
267,nmod,3.0,соглашение,4,2.0,NOUN,соглашению,7
268,case,3.0,на,10,2.0,ADP,на,8
269,amod,3.0,следующий,10,2.0,ADJ,следующей,9
270,nmod,3.0,неделя,7,2.0,NOUN,неделе,10
271,punct,3.0,!,10,2.0,PUNCT,!,11
272,parataxis,3.0,заявить,2,2.0,VERB,заявил,12
273,nsubj,3.0,трамп,12,2.0,NOUN,Трамп,13
274,punct,3.0,.,2,2.0,PUNCT,.,14
275,ROOT,3.0,известно,0,3.0,ADJ,Известно,1
276,punct,3.0,",",1,3.0,PUNCT,",",2
277,mark,3.0,что,7,3.0,SCONJ,что,3
278,amod,3.0,парижский,5,3.0,ADJ,Парижское,4
279,nsubjpass,3.0,соглашение,7,3.0,NOUN,соглашение,5
280,auxpass,3.0,быть,7,3.0,AUX,было,6
281,advcl,3.0,подписать,1,3.0,VERB,подписано,7
282,nmod,3.0,22,7,3.0,NUM,22,8
283,nmod,3.0,апрель,8,3.0,NOUN,апреля,9
284,amod,3.0,2016,11,3.0,NUM,2016,10
285,nmod,3.0,год,9,3.0,NOUN,года,11
286,cc,3.0,как,7,3.0,SCONJ,как,12
287,advmod,3.0,часть,7,3.0,NOUN,часть,13
288,amod,3.0,рамочный,15,3.0,ADJ,Рамочной,14
289,nmod,3.0,конвенция,13,3.0,NOUN,конвенции,15
290,nmod,3.0,оон,15,3.0,NOUN,ООН,16
291,case,3.0,о,18,3.0,ADP,об,17
292,nmod,3.0,изменение,15,3.0,NOUN,изменении,18
293,dobj,3.0,климат,18,3.0,NOUN,климата,19
294,punct,3.0,.,1,3.0,PUNCT,.,20
295,nsubj,3.0,соглашение,2,4.0,NOUN,Соглашение,1
296,ROOT,3.0,регулировать,0,4.0,VERB,регулирует,2
297,dobj,3.0,мера,2,4.0,NOUN,меры,3
298,case,3.0,по,5,4.0,ADP,по,4
299,dobj,3.0,снижение,3,4.0,NOUN,снижению,5
300,amod,3.0,углекислый,7,4.0,ADJ,углекислого,6
301,dobj,3.0,газа,5,4.0,NOUN,газа,7
302,case,3.0,в,9,4.0,ADP,в,8
303,nmod,3.0,атмосфера,5,4.0,NOUN,атмосфере,9
304,case,3.0,с,12,4.0,ADP,с,10
305,amod,3.0,2020,12,4.0,NUM,2020,11
306,nmod,3.0,год,9,4.0,NOUN,года,12
307,punct,3.0,.,2,4.0,PUNCT,.,13
308,parataxis,3.0,напомнить,4,5.0,VERB,Напомним,1
309,punct,3.0,",",1,5.0,PUNCT,",",2
310,advmod,3.0,ранее,4,5.0,ADV,ранее,3
311,ROOT,3.0,сообщаться,0,5.0,VERB,сообщалось,4
312,punct,3.0,",",4,5.0,PUNCT,",",5
313,mark,3.0,что,19,5.0,SCONJ,что,6
314,nummod,3.0,шесть,8,5.0,NUM,шесть,7
315,nsubj,3.0,страна,19,5.0,NOUN,стран,8
316,amod,3.0,g7,8,5.0,ADJ,G7,9
317,punct,3.0,(,11,5.0,PUNCT,(,10
318,amod,3.0,большой,12,5.0,ADJ,Большой,11
319,parataxis,3.0,семёрка,9,5.0,NOUN,семерки,12
320,punct,3.0,),12,5.0,PUNCT,),13
321,case,3.0,в,15,5.0,ADP,в,14
322,nmod,3.0,ход,19,5.0,NOUN,ходе,15
323,nmod,3.0,саммит,15,5.0,NOUN,саммита,16
324,case,3.0,на,18,5.0,ADP,на,17
325,nmod,3.0,сицилия,15,5.0,NOUN,Сицилии,18
326,advcl,3.0,потребовать,4,5.0,VERB,потребовали,19
327,case,3.0,от,21,5.0,ADP,от,20
328,iobj,3.0,президент,19,5.0,NOUN,президента,21
329,dobj,3.0,сша,21,5.0,NOUN,США,22
330,dobj,3.0,дональд,19,5.0,NOUN,Дональда,23
331,nmod,3.0,трамп,23,5.0,NOUN,Трампа,24
332,xcomp,3.0,придерживаться,19,5.0,VERB,придерживаться,25
333,amod,3.0,парижский,27,5.0,ADJ,Парижского,26
334,dobj,3.0,соглашение,25,5.0,NOUN,соглашения,27
335,case,3.0,по,29,5.0,ADP,по,28
336,nmod,3.0,климат,27,5.0,NOUN,климату,29
337,punct,3.0,.,4,5.0,PUNCT,.,30
338,case,3.0,о,2,6.0,ADP,Об,1
339,nmod,3.0,это,8,6.0,NOUN,этом,2
340,case,3.0,в,4,6.0,ADP,в,3
341,nmod,3.0,конец,8,6.0,NOUN,конце,4
342,amod,3.0,первое,6,6.0,ADJ,первого,5
343,nmod,3.0,день,4,6.0,NOUN,дня,6
344,nmod,3.0,саммит,6,6.0,NOUN,саммита,7
345,ROOT,3.0,рассказать,0,6.0,VERB,рассказала,8
346,nsubj,3.0,канцлер,8,6.0,NOUN,канцлер,9
347,dobj,3.0,германия,9,6.0,NOUN,Германии,10
348,appos,3.0,ангел,9,6.0,NOUN,Ангела,11
349,name,3.0,меркель,11,6.0,NOUN,Меркель,12
350,punct,3.0,",",12,6.0,PUNCT,",",13
351,parataxis,3.0,передавать,8,6.0,VERB,передает,14
352,nsubj,3.0,dw,14,6.0,NOUN,DW,15
353,punct,3.0,.,8,6.0,PUNCT,.,16
354,advmod,3.0,также,3,7.0,ADV,Также,1
355,nsubj,3.0,меркель,3,7.0,NOUN,Меркель,2
356,ROOT,3.0,отметить,0,7.0,VERB,отметила,3
357,punct,3.0,",",3,7.0,PUNCT,",",4
358,mark,3.0,что,12,7.0,SCONJ,что,5
359,nsubj,3.0,обсуждение,12,7.0,NOUN,обсуждение,6
360,amod,3.0,торговый,10,7.0,ADJ,торговых,7
361,cc,3.0,и,7,7.0,CONJ,и,8
362,conj,3.0,климатический,7,7.0,ADJ,климатических,9
363,dobj,3.0,вопрос,6,7.0,NOUN,вопросов,10
364,cop,3.0,быть,12,7.0,AUX,было,11
365,advcl,3.0,противоречивый,3,7.0,ADJ,противоречивыми,12
366,cc,3.0,и,12,7.0,CONJ,и,13
367,conj,3.0,откровенный,12,7.0,ADJ,откровенными,14
368,punct,3.0,.,3,7.0,PUNCT,.,15
369,case,3.0,по,2,8.0,ADP,По,1
370,parataxis,3.0,слово,12,8.0,NOUN,словам,2
371,nmod,3.0,премьерминистр,2,8.0,NOUN,премьерминистра,3
372,dobj,3.0,италия,3,8.0,NOUN,Италии,4
373,appos,3.0,паоло,3,8.0,NOUN,Паоло,5
374,name,3.0,джентилонить,5,8.0,NOUN,Джентилони,6
375,punct,3.0,",",6,8.0,PUNCT,",",7
376,nsubj,3.0,трамп,12,8.0,NOUN,Трамп,8
377,case,3.0,по,10,8.0,ADP,по,9
378,nmod,3.0,итог,8,8.0,NOUN,итогу,10
379,nmod,3.0,саммит,10,8.0,NOUN,саммита,11
380,ROOT,3.0,отказаться,0,8.0,VERB,отказался,12
381,xcomp,3.0,поддерживать,12,8.0,VERB,поддерживать,13
382,amod,3.0,парижский,15,8.0,ADJ,Парижские,14
383,dobj,3.0,соглашение,13,8.0,NOUN,соглашения,15
384,case,3.0,по,17,8.0,ADP,по,16
385,nmod,3.0,климат,15,8.0,NOUN,климату,17
386,punct,3.0,.,12,8.0,PUNCT,.,18
387,nsubj,4.0,президент,5,0.0,NOUN,Президент,1
388,dobj,4.0,сша,1,0.0,NOUN,США,2
389,appos,4.0,дональд,1,0.0,NOUN,Дональд,3
390,name,4.0,трамп,3,0.0,NOUN,Трамп,4
391,ROOT,4.0,заявить,0,0.0,VERB,заявил,5
392,punct,4.0,",",5,0.0,PUNCT,",",6
393,mark,4.0,что,8,0.0,SCONJ,что,7
394,advcl,4.0,принять,5,0.0,VERB,примет,8
395,advmod,4.0,окончательно,8,0.0,ADV,окончательно,9
396,dobj,4.0,решение,8,0.0,NOUN,решение,10
397,case,4.0,насчёт,13,0.0,ADP,насчет,11
398,amod,4.0,парижский,13,0.0,ADJ,Парижского,12
399,nmod,4.0,соглашение,10,0.0,NOUN,соглашения,13
400,case,4.0,по,15,0.0,ADP,по,14
401,nmod,4.0,климат,13,0.0,NOUN,климату,15
402,case,4.0,на,18,0.0,ADP,на,16
403,amod,4.0,следующий,18,0.0,ADJ,следующей,17
404,nmod,4.0,неделя,13,0.0,NOUN,неделе,18
405,punct,4.0,.,5,0.0,PUNCT,.,19
406,case,4.0,о,2,1.0,ADP,Об,1
407,nmod,4.0,это,3,1.0,NOUN,этом,2
408,ROOT,4.0,сообщаться,0,1.0,VERB,сообщается,3
409,case,4.0,в,5,1.0,ADP,в,4
410,nmod,4.0,twitter,3,1.0,NOUN,Twitter,5
411,nmod,4.0,президент,5,1.0,NOUN,президента,6
412,dobj,4.0,сша,6,1.0,NOUN,США,7
413,punct,4.0,.,3,1.0,PUNCT,.,8
414,nsubj,4.0,я,2,2.0,PRON,Я,1
415,ROOT,4.0,принять,0,2.0,VERB,приму,2
416,amod,4.0,окончательный,4,2.0,ADJ,окончательное,3
417,dobj,4.0,решение,2,2.0,NOUN,решение,4
418,case,4.0,по,7,2.0,ADP,по,5
419,amod,4.0,парижский,7,2.0,ADJ,Парижскому,6
420,nmod,4.0,соглашение,4,2.0,NOUN,соглашению,7
421,case,4.0,на,10,2.0,ADP,на,8
422,amod,4.0,следующий,10,2.0,ADJ,следующей,9
423,nmod,4.0,неделя,7,2.0,NOUN,неделе,10
424,punct,4.0,!,10,2.0,PUNCT,!,11
425,parataxis,4.0,заявить,2,2.0,VERB,заявил,12
426,nsubj,4.0,трамп,12,2.0,NOUN,Трамп,13
427,punct,4.0,.,2,2.0,PUNCT,.,14
428,ROOT,4.0,известно,0,3.0,ADJ,Известно,1
429,punct,4.0,",",1,3.0,PUNCT,",",2
430,mark,4.0,что,7,3.0,SCONJ,что,3
431,amod,4.0,парижский,5,3.0,ADJ,Парижское,4
432,nsubjpass,4.0,соглашение,7,3.0,NOUN,соглашение,5
433,auxpass,4.0,быть,7,3.0,AUX,было,6
434,advcl,4.0,подписать,1,3.0,VERB,подписано,7
435,nmod,4.0,22,7,3.0,NUM,22,8
436,nmod,4.0,апрель,8,3.0,NOUN,апреля,9
437,amod,4.0,2016,11,3.0,NUM,2016,10
438,nmod,4.0,год,9,3.0,NOUN,года,11
439,cc,4.0,как,7,3.0,SCONJ,как,12
440,advmod,4.0,часть,7,3.0,NOUN,часть,13
441,amod,4.0,рамочный,15,3.0,ADJ,Рамочной,14
442,nmod,4.0,конвенция,13,3.0,NOUN,конвенции,15
443,nmod,4.0,оон,15,3.0,NOUN,ООН,16
444,case,4.0,о,18,3.0,ADP,об,17
445,nmod,4.0,изменение,15,3.0,NOUN,изменении,18
446,dobj,4.0,климат,18,3.0,NOUN,климата,19
447,punct,4.0,.,1,3.0,PUNCT,.,20
448,nsubj,4.0,соглашение,2,4.0,NOUN,Соглашение,1
449,ROOT,4.0,регулировать,0,4.0,VERB,регулирует,2
450,dobj,4.0,мера,2,4.0,NOUN,меры,3
451,case,4.0,по,5,4.0,ADP,по,4
452,dobj,4.0,снижение,3,4.0,NOUN,снижению,5
453,amod,4.0,углекислый,7,4.0,ADJ,углекислого,6
454,dobj,4.0,газа,5,4.0,NOUN,газа,7
455,case,4.0,в,9,4.0,ADP,в,8
456,nmod,4.0,атмосфера,5,4.0,NOUN,атмосфере,9
457,case,4.0,с,12,4.0,ADP,с,10
458,amod,4.0,2020,12,4.0,NUM,2020,11
459,nmod,4.0,год,9,4.0,NOUN,года,12
460,punct,4.0,.,2,4.0,PUNCT,.,13
461,parataxis,4.0,напомнить,4,5.0,VERB,Напомним,1
462,punct,4.0,",",1,5.0,PUNCT,",",2
463,advmod,4.0,ранее,4,5.0,ADV,ранее,3
464,ROOT,4.0,сообщаться,0,5.0,VERB,сообщалось,4
465,punct,4.0,",",4,5.0,PUNCT,",",5
466,mark,4.0,что,19,5.0,SCONJ,что,6
467,nummod,4.0,шесть,8,5.0,NUM,шесть,7
468,nsubj,4.0,страна,19,5.0,NOUN,стран,8
469,amod,4.0,g7,8,5.0,ADJ,G7,9
470,punct,4.0,(,11,5.0,PUNCT,(,10
471,amod,4.0,большой,12,5.0,ADJ,Большой,11
472,parataxis,4.0,семёрка,9,5.0,NOUN,семерки,12
473,punct,4.0,),12,5.0,PUNCT,),13
474,case,4.0,в,15,5.0,ADP,в,14
475,nmod,4.0,ход,19,5.0,NOUN,ходе,15
476,nmod,4.0,саммит,15,5.0,NOUN,саммита,16
477,case,4.0,на,18,5.0,ADP,на,17
478,nmod,4.0,сицилия,15,5.0,NOUN,Сицилии,18
