,dependency,doc_id,lemmatized,parent_id,pol,sentence_id,tag,word,word_id
92,conj,0.0,надо,2,0.0,4.0,ADV,надо,10
93,nsubj,0.0,выживать,10,0.0,4.0,VERB,выживать,11
94,punct,0.0,",",11,0.0,4.0,PUNCT,",",12
95,dobj,0.0,—,14,0.0,4.0,PUNCT,—,13
96,ccomp,0.0,сказать,11,0.0,4.0,VERB,сказал,14
97,nsubj,0.0,песок,14,0.0,4.0,NOUN,Песков,15
98,punct,0.0,.,2,0.0,4.0,PUNCT,.,16
99,nsubj,0.0,он,3,0.0,5.0,PRON,Он,1
100,neg,0.0,не,3,0.0,5.0,PART,не,2
101,ROOT,0.0,стать,0,0.0,5.0,VERB,стал,3
102,xcomp,0.0,отвечать,3,0.0,5.0,VERB,отвечать,4
103,case,0.0,на,6,0.0,5.0,ADP,на,5
104,dobj,0.0,вопрос,4,0.0,5.0,NOUN,вопрос,6
105,case,0.0,о,8,0.0,5.0,ADP,о,7
106,nmod,0.0,тот,6,0.0,5.0,NOUN,том,8
107,punct,0.0,",",8,0.0,5.0,PUNCT,",",9
108,auxpass,0.0,быть,12,0.0,5.0,AUX,будет,10
109,advmod,0.0,ли,12,0.0,5.0,PART,ли,11
110,acl,0.0,открытый,8,0.0,5.0,VERB,открыт,12
111,amod,0.0,российский,14,0.0,5.0,ADJ,российский,13
112,nsubjpass,0.0,рынок,12,0.0,5.0,NOUN,рынок,14
113,case,0.0,для,19,0.0,5.0,ADP,для,15
114,amod,0.0,национализировать,19,0.0,5.0,VERB,национализированных,16
115,case,0.0,в,18,0.0,5.0,ADP,в,17
116,nmod,0.0,донбасс,16,0.0,5.0,NOUN,Донбассе,18
117,nmod,0.0,предприятие,14,0.0,5.0,NOUN,предприятий,19
118,punct,0.0,.,3,0.0,5.0,PUNCT,.,20
119,cc,0.0,а,3,0.0,6.0,CONJ,А,1
120,advmod,0.0,также,3,0.0,6.0,ADV,также,2
121,ROOT,0.0,отметить,0,0.0,6.0,VERB,отметил,3
122,punct,0.0,",",3,0.0,6.0,PUNCT,",",4
123,mark,0.0,что,7,0.0,6.0,SCONJ,что,5
124,nsubj,0.0,москва,7,0.0,6.0,NOUN,Москва,6
125,advcl,0.0,пытаться,3,0.0,6.0,VERB,пытается,7
126,xcomp,0.0,использовать,7,0.0,6.0,VERB,использовать,8
127,det,0.0,свой,10,0.0,6.0,DET,своё,9
128,dobj,0.0,влияние,8,0.0,6.0,NOUN,влияние,10
129,case,0.0,на,12,0.0,6.0,ADP,на,11
130,dobj,0.0,лнр,10,0.0,6.0,NOUN,ЛНР,12
131,cc,0.0,и,12,0.0,6.0,CONJ,и,13
132,conj,0.0,днр,12,0.0,6.0,NOUN,ДНР,14
133,case,0.0,для,16,0.0,6.0,ADP,для,15
134,iobj,0.0,нормализация,8,0.0,6.0,NOUN,нормализации,16
135,dobj,0.0,обстановка,16,0.0,6.0,NOUN,обстановки,17
136,case,0.0,в,19,0.0,6.0,ADP,в,18
137,nmod,0.0,регион,17,0.0,6.0,NOUN,регионе,19
138,punct,0.0,",",19,0.0,6.0,PUNCT,",",20
139,advmod,0.0,однако,24,0.0,6.0,ADV,однако,21
140,nsubj,0.0,оно,24,0.0,6.0,PRON,оно,22
141,neg,0.0,не,24,0.0,6.0,PART,не,23
142,conj,0.0,безгранично,7,0.0,6.0,ADV,безгранично,24
143,punct,0.0,.,3,0.0,6.0,PUNCT,.,25
144,nmod,1.0,1,3,0.0,0.0,NUM,1,1
145,nmod,1.0,март,1,0.0,0.0,NOUN,марта,2
146,ROOT,1.0,наступить,0,0.0,0.0,VERB,наступило,3
147,punct,1.0,.,3,0.0,0.0,PUNCT,.,4
148,amod,1.0,украинский,2,0.0,1.0,ADJ,Украинские,1
149,nsubj,1.0,радикал,9,0.0,1.0,NOUN,радикалы,2
150,dobj,1.0,блокада,9,0.0,1.0,NOUN,блокаду,3
151,case,1.0,с,5,0.0,1.0,ADP,с,4
152,nmod,1.0,днр,3,0.0,1.0,NOUN,ДНР,5
153,cc,1.0,и,5,0.0,1.0,CONJ,и,6
154,conj,1.0,лнр,5,0.0,1.0,NOUN,ЛНР,7
155,neg,1.0,не,9,0.0,1.0,PART,не,8
156,ROOT,1.0,снять,0,0.0,1.0,VERB,сняли,9
157,punct,1.0,.,9,0.0,1.0,PUNCT,.,10
158,nsubj,1.0,весь,2,0.0,2.0,NOUN,Все,1
159,ROOT,1.0,идти,0,0.0,2.0,VERB,идет,2
160,case,1.0,по,4,0.0,2.0,ADP,по,3
161,nmod,1.0,план,2,0.0,2.0,NOUN,плану,4
162,punct,1.0,",",4,0.0,2.0,PUNCT,",",5
163,nsubjpass,1.0,предприятие,13,0.0,2.0,NOUN,предприятия,6
164,case,1.0,с,9,0.0,2.0,ADP,с,7
165,amod,1.0,сегодняшний,9,0.0,2.0,ADJ,сегодняшнего,8
166,nmod,1.0,день,6,0.0,2.0,NOUN,дня,9
167,case,1.0,с,11,0.0,2.0,ADP,с,10
168,nmod,1.0,нуль,9,0.0,2.0,NOUN,нуля,11
169,nmod,1.0,часы,11,0.0,2.0,NOUN,часов,12
170,conj,1.0,вводиться,2,0.0,2.0,VERB,вводятся,13
171,case,1.0,в,16,0.0,2.0,ADP,во,14
172,amod,1.0,внешний,16,0.0,2.0,ADJ,внешнее,15
173,nmod,1.0,управление,13,0.0,2.0,NOUN,управление,16
174,punct,1.0,",",16,0.0,2.0,PUNCT,",",17
175,punct,1.0,—,2,0.0,2.0,PUNCT,—,18
176,parataxis,1.0,сообщить,2,0.0,2.0,VERB,сообщил,19
177,nmod,1.0,утром,19,0.0,2.0,NOUN,утром,20
178,nsubj,1.0,лидер,19,0.0,2.0,NOUN,лидер,21
179,dobj,1.0,днр,21,0.0,2.0,ADP,ДНР,22
180,appos,1.0,александр,21,0.0,2.0,NOUN,Александр,23
181,name,1.0,захарченко,23,0.0,2.0,NOUN,Захарченко,24
182,punct,1.0,.,2,0.0,2.0,PUNCT,.,25
183,nsubj,1.0,–,10,0.0,3.0,PUNCT,–,1
184,case,1.0,в,3,0.0,3.0,ADP,В,2
185,parataxis,1.0,принцип,10,0.0,3.0,NOUN,принципе,3
186,punct,1.0,",",3,0.0,3.0,PUNCT,",",4
187,case,1.0,к,7,0.0,3.0,ADP,к,5
188,amod,1.0,сегодняшний,7,0.0,3.0,ADJ,сегодняшнему,6
189,nmod,1.0,вечер,10,0.0,3.0,NOUN,вечеру,7
190,nsubj,1.0,мы,10,0.0,3.0,PRON,мы,8
191,dobj,1.0,весь,10,0.0,3.0,NOUN,все,9
192,ROOT,1.0,закончить,0,0.0,3.0,VERB,закончим,10
193,punct,1.0,.,10,0.0,3.0,PUNCT,.,11
194,det,1.0,наш,2,0.0,4.0,DET,Наш,1
195,nsubj,1.0,корреспондент,3,0.0,4.0,NOUN,корреспондент,2
196,ROOT,1.0,отправиться,0,0.0,4.0,VERB,отправился,3
197,case,1.0,на,5,0.0,4.0,ADP,на,4
198,nmod,1.0,один,3,0.0,4.0,ADJ,одну,5
199,case,1.0,из,10,0.0,4.0,ADP,из,6
200,amod,1.0,самый,8,0.0,4.0,ADJ,самых,7
201,amod,1.0,известный,10,0.0,4.0,ADJ,известных,8
202,amod,1.0,донецкий,10,0.0,4.0,ADJ,донецких,9
203,nmod,1.0,шахта,5,0.0,4.0,NOUN,шахт,10
204,nmod,1.0,—,3,0.0,4.0,PUNCT,—,11
205,nmod,1.0,имя,11,0.0,4.0,NOUN,имени,12
206,nmod,1.0,засядько,12,0.0,4.0,ADV,Засядько,13
207,punct,1.0,",",13,0.0,4.0,PUNCT,",",14
208,mark,1.0,чтобы,16,0.0,4.0,SCONJ,чтобы,15
209,advcl,1.0,посмотреть,3,0.0,4.0,VERB,посмотреть,16
210,punct,1.0,",",16,0.0,4.0,PUNCT,",",17
211,advmod,1.0,как,19,0.0,4.0,ADV,как,18
212,ccomp,1.0,выглядеть,16,0.0,4.0,VERB,выглядит,19
213,nsubj,1.0,процесс,19,0.0,4.0,NOUN,процесс,20
214,nmod,1.0,смена,20,0.0,4.0,NOUN,смены,21
215,dobj,1.0,управление,21,0.0,4.0,NOUN,управления,22
216,punct,1.0,",",22,0.0,4.0,PUNCT,",",23
217,cc,1.0,и,16,0.0,4.0,CONJ,и,24
218,conj,1.0,послушать,16,0.0,4.0,VERB,послушать,25
219,punct,1.0,",",25,0.0,4.0,PUNCT,",",26
220,dobj,1.0,что,28,0.0,4.0,PRON,что,27
221,ccomp,1.0,думать,25,0.0,4.0,VERB,думают,28
222,case,1.0,о,30,0.0,4.0,ADP,об,29
223,nmod,1.0,это,28,0.0,4.0,NOUN,этом,30
224,amod,1.0,сам,32,0.0,4.0,ADJ,сами,31
225,nsubj,1.0,работник,28,0.0,4.0,NOUN,работники,32
226,dobj,1.0,предприятие,32,0.0,4.0,NOUN,предприятия,33
227,punct,1.0,.,3,0.0,4.0,PUNCT,.,34
228,ROOT,1.0,фото,0,0.0,5.0,NOUN,фото,1
229,appos,1.0,дмитрий,1,0.0,5.0,NOUN,Дмитрий,2
230,name,1.0,дурнеть,2,0.0,5.0,NOUN,Дурнев,3
231,conj,1.0,шахта,1,0.0,5.0,NOUN,Шахта,4
232,nmod,1.0,имя,4,0.0,5.0,NOUN,имени,5
233,nmod,1.0,засядько,5,0.0,5.0,NOUN,Засядько,6
234,punct,1.0,–,6,0.0,5.0,PUNCT,–,7
235,conj,1.0,предприятие,1,0.0,5.0,NOUN,предприятие,8
236,case,1.0,в,10,0.0,5.0,ADP,в,9
237,nmod,1.0,донецк,8,0.0,5.0,NOUN,Донецке,10
238,conj,1.0,особенный,1,0.0,5.0,ADJ,особенное,11
239,punct,1.0,.,1,0.0,5.0,PUNCT,.,12
240,amod,1.0,вопервое,9,0.0,6.0,ADJ,Вопервых,1
241,punct,1.0,",",1,0.0,6.0,PUNCT,",",2
242,nsubj,1.0,это,9,0.0,6.0,NOUN,это,3
243,amod,1.0,самый,5,0.0,6.0,ADJ,самая,4
244,amod,1.0,глубокий,9,0.0,6.0,ADJ,глубокая,5
245,cc,1.0,и,5,0.0,6.0,CONJ,и,6
246,amod,1.0,самый,8,0.0,6.0,ADJ,самая,7
247,conj,1.0,опасный,5,0.0,6.0,ADJ,опасная,8
248,nsubj,1.0,шахта,20,0.0,6.0,NOUN,шахта,9
249,nmod,1.0,украина,9,0.0,6.0,NOUN,Украины,10
250,punct,1.0,",",10,0.0,6.0,PUNCT,",",11
251,amod,1.0,опережать,9,0.0,6.0,VERB,опережающая,12
252,case,1.0,по,14,0.0,6.0,ADP,по,13
253,dobj,1.0,количество,12,0.0,6.0,NOUN,количеству,14
254,nmod,1.0,авария,14,0.0,6.0,NOUN,аварий,15
255,case,1.0,с,18,0.0,6.0,ADP,с,16
256,amod,1.0,массовый,18,0.0,6.0,ADJ,массовыми,17
257,dobj,1.0,жертва,15,0.0,6.0,NOUN,жертвами,18
258,amod,1.0,весь,20,0.0,6.0,DET,все,19
259,ROOT,1.0,прочий,0,0.0,6.0,ADJ,прочие,20
260,punct,1.0,.,20,0.0,6.0,PUNCT,.,21
261,ROOT,1.0,добывать,0,0.0,7.0,VERB,Добывает,1
262,nsubj,1.0,она,1,0.0,7.0,PRON,она,2
263,amod,1.0,коксоваться,4,0.0,7.0,VERB,коксующиеся,3
264,dobj,1.0,уголь,1,0.0,7.0,NOUN,угли,4
265,punct,1.0,",",4,0.0,7.0,PUNCT,",",5
266,nsubj,1.0,который,8,0.0,7.0,ADJ,которые,6
267,advmod,1.0,потом,8,0.0,7.0,ADV,потом,7
268,acl:relcl,1.0,идти,4,0.0,7.0,VERB,идут,8
269,case,1.0,на,13,0.0,7.0,ADP,на,9
270,amod,1.0,ясиновский,13,0.0,7.0,ADJ,Ясиновский,10
271,cc,1.0,и,10,0.0,7.0,CONJ,и,11
272,conj,1.0,енакиевский,10,0.0,7.0,ADJ,Енакиевский,12
273,nmod,1.0,коксохимзавод,8,0.0,7.0,NOUN,коксохимзаводы,13
274,punct,1.0,",",13,0.0,7.0,PUNCT,",",14
275,cc,1.0,а,8,0.0,7.0,CONJ,а,15
276,advmod,1.0,потом,19,0.0,7.0,ADV,потом,16
277,nsubj,1.0,кокс,19,0.0,7.0,NOUN,кокс,17
278,advmod,1.0,оттуда,19,0.0,7.0,ADV,оттуда,18
279,conj,1.0,идти,8,0.0,7.0,VERB,идет,19
280,case,1.0,на,23,0.0,7.0,ADP,на,20
281,amod,1.0,донецкий,23,0.0,7.0,ADJ,Донецкий,21
282,amod,1.0,металлургический,23,0.0,7.0,ADJ,металлургический,22
283,nmod,1.0,завод,19,0.0,7.0,NOUN,завод,23
284,punct,1.0,.,1,0.0,7.0,PUNCT,.,24
285,det,1.0,весь,2,0.0,8.0,DET,Все,1
286,nsubj,1.0,предприятие,6,0.0,8.0,NOUN,предприятия,2
287,case,1.0,до,5,0.0,8.0,ADP,до,3
288,amod,1.0,недавний,5,0.0,8.0,ADJ,недавнего,4
289,nmod,1.0,время,2,0.0,8.0,NOUN,времени,5
290,ROOT,1.0,работать,0,0.0,8.0,VERB,работали,6
291,case,1.0,в,9,0.0,8.0,ADP,в,7
292,amod,1.0,украинский,9,0.0,8.0,ADJ,украинской,8
293,nmod,1.0,юрисдикция,6,0.0,8.0,NOUN,юрисдикции,9
294,cc,1.0,и,6,0.0,8.0,CONJ,и,10
295,conj,1.0,выплачивать,6,0.0,8.0,VERB,выплачивали,11
296,amod,1.0,украинский,13,0.0,8.0,ADJ,украинские,12
297,dobj,1.0,налог,11,0.0,8.0,NOUN,налоги,13
298,punct,1.0,.,6,0.0,8.0,PUNCT,.,14
299,ROOT,1.0,руководить,0,0.0,9.0,VERB,Руководил,1
300,advmod,1.0,формально,1,0.0,9.0,ADV,формально,2
301,dobj,1.0,шахта,1,0.0,9.0,ADJ,шахтой,3
302,nsubj,1.0,совет,1,0.0,9.0,NOUN,Совет,4
303,dobj,1.0,арендатор,4,0.0,9.0,NOUN,арендаторов,5
304,punct,1.0,",",5,0.0,9.0,PUNCT,",",6
305,mark,1.0,поскольку,11,0.0,9.0,CONJ,поскольку,7
306,nummod,1.0,85%,9,0.0,9.0,NUM,85%,8
307,nsubj,1.0,акция,11,0.0,9.0,NOUN,акций,9
308,advmod,1.0,попрежний,11,0.0,9.0,ADV,попрежнему,10
309,advcl,1.0,числиться,1,0.0,9.0,VERB,числятся,11
310,case,1.0,за,14,0.0,9.0,ADP,за,12
311,amod,1.0,трудовой,14,0.0,9.0,ADJ,трудовым,13
312,dobj,1.0,коллектив,11,0.0,9.0,NOUN,коллективом,14
313,punct,1.0,.,1,0.0,9.0,PUNCT,.,15
314,ROOT,1.0,председатель,0,0.0,10.0,NOUN,Председатель,1
315,det,1.0,это,3,0.0,10.0,DET,этого,2
316,dobj,1.0,совет,1,0.0,10.0,NOUN,Совета,3
317,amod,1.0,старый,6,0.0,10.0,ADJ,старейший,4
318,amod,1.0,народный,6,0.0,10.0,ADJ,народный,5
319,appos,1.0,депутат,1,0.0,10.0,NOUN,депутат,6
320,dobj,1.0,украина,6,0.0,10.0,NOUN,Украины,7
321,appos,1.0,ефим,6,0.0,10.0,NOUN,Ефим,8
322,name,1.0,леонид,8,0.0,10.0,NOUN,Леонидович,9
323,amod,1.0,звягильский,9,0.0,10.0,ADJ,Звягильский,10
324,punct,1.0,.,1,0.0,10.0,PUNCT,.,11
325,amod,1.0,звягильский,2,0.0,11.0,ADJ,Звягильский,1
326,nsubj,1.0,человек,5,0.0,11.0,NOUN,человек,2
327,case,1.0,в,4,0.0,11.0,ADP,в,3
328,nmod,1.0,донецк,2,0.0,11.0,NOUN,Донецке,4
329,ROOT,1.0,легендарный,0,0.0,11.0,ADJ,легендарный,5
330,cc,1.0,и,5,0.0,11.0,CONJ,и,6
331,conj,1.0,пользоваться,5,0.0,11.0,VERB,пользуется,7
332,amod,1.0,особый,9,0.0,11.0,ADJ,особыми,8
333,dobj,1.0,право,7,0.0,11.0,NOUN,правами,9
334,punct,1.0,.,5,0.0,11.0,PUNCT,.,10
335,nsubj,1.0,депутат,3,0.0,12.0,NOUN,Депутат,1
336,dobj,1.0,верховный,1,0.0,12.0,ADJ,Верховной,2
337,ROOT,1.0,рад,0,0.0,12.0,ADJ,рады,3
338,advmod,1.0,регулярно,5,0.0,12.0,ADV,регулярно,4
339,dobj,1.0,заезжать,3,0.0,12.0,VERB,заезжал,5
340,case,1.0,на,7,0.0,12.0,ADP,на,6
341,nmod,1.0,шахта,5,0.0,12.0,NOUN,шахту,7
342,punct,1.0,",",7,0.0,12.0,PUNCT,",",8
343,advmod,1.0,здесь,13,0.0,12.0,ADV,здесь,9
344,case,1.0,до,12,0.0,12.0,ADP,до,10
345,amod,1.0,последний,12,0.0,12.0,ADJ,последнего,11
346,nmod,1.0,время,13,0.0,12.0,NOUN,времени,12
347,conj,1.0,стоялый,3,0.0,12.0,VERB,стоял,13
348,nsubj,1.0,банкомат,13,0.0,12.0,NOUN,банкомат,14
349,case,1.0,с,16,0.0,12.0,ADP,с,15
350,nmod,1.0,гривна,14,0.0,12.0,NOUN,гривнами,16
351,punct,1.0,",",16,0.0,12.0,PUNCT,",",17
352,amod,1.0,заработный,19,0.0,12.0,ADJ,заработная,18
353,nsubj,1.0,плат,21,0.0,12.0,NOUN,плата,19
354,nmod,1.0,шахтёр,21,0.0,12.0,NOUN,шахтерам,20
355,conj,1.0,идти,3,0.0,12.0,VERB,шла,21
356,case,1.0,на,23,0.0,12.0,ADP,на,22
357,nmod,1.0,карта,21,0.0,12.0,NOUN,карты,23
358,nummod,1.0,два,26,0.0,12.0,NUM,двух,24
359,amod,1.0,украинский,26,0.0,12.0,ADJ,украинских,25
360,dobj,1.0,банк,23,0.0,12.0,NOUN,банков,26
361,nmod,1.0,–,21,0.0,12.0,PUNCT,–,27
362,dobj,1.0,пумба,27,0.0,12.0,NOUN,ПУМБ,28
363,nmod,1.0,ринат,28,0.0,12.0,NOUN,Рината,29
364,name,1.0,ахметов,29,0.0,12.0,NOUN,Ахметова,30
365,cc,1.0,и,28,0.0,12.0,CONJ,и,31
366,amod,1.0,украинский,33,0.0,12.0,ADJ,украинской,32
367,conj,1.0,дочка,28,0.0,12.0,NOUN,дочки,33
368,nmod,1.0,сбербанк,33,0.0,12.0,NOUN,Сбербанка,34
369,nmod,1.0,россия,34,0.0,12.0,NOUN,России,35
370,punct,1.0,.,3,0.0,12.0,PUNCT,.,36
371,advmod,1.0,как,3,0.0,13.0,ADV,Как,1
372,nsubj,1.0,мы,3,0.0,13.0,PRON,мы,2
373,parataxis,1.0,писать,22,0.0,13.0,VERB,писали,3
374,advmod,1.0,ранее,3,0.0,13.0,ADV,ранее,4
375,punct,1.0,(,6,0.0,13.0,PUNCT,(,5
376,advmod,1.0,подробно,10,0.0,13.0,ADV,подробно,6
377,case,1.0,в,8,0.0,13.0,ADP,в,7
378,nmod,1.0,материал,10,0.0,13.0,NOUN,материале,8
379,nsubj,1.0,автоматчик,10,0.0,13.0,NOUN,Автоматчики,9
380,parataxis,1.0,занять,4,0.0,13.0,VERB,заняли,10
381,det,1.0,весь,12,0.0,13.0,DET,все,11
382,dobj,1.0,предприятие,10,0.0,13.0,NOUN,предприятия,12
383,nmod,1.0,ахметов,12,0.0,13.0,NOUN,Ахметова,13
384,punct,1.0,",",13,0.0,13.0,PUNCT,",",14
385,nsubj,1.0,схема,22,0.0,13.0,NOUN,схема,15
386,amod,1.0,объявить,21,0.0,13.0,VERB,объявленных,16
387,nmod:agent,1.0,глава,16,0.0,13.0,NOUN,главами,17
388,dobj,1.0,днр,17,0.0,13.0,NOUN,ДНР,18
389,cc,1.0,и,18,0.0,13.0,CONJ,и,19
390,conj,1.0,лнр,18,0.0,13.0,NOUN,ЛНР,20
391,dobj,1.0,новшество,15,0.0,13.0,NOUN,новшеств,21
392,ROOT,1.0,таков,0,0.0,13.0,ADJ,такова,22
393,amod,1.0,украинский,24,0.0,13.0,ADJ,украинским,23
394,nmod,1.0,собственник,25,0.0,13.0,NOUN,собственникам,24
395,nmod,1.0,отводить,22,0.0,13.0,VERB,отводили,25
396,nmod,1.0,сутки,22,0.0,13.0,NOUN,сутки,26
397,case,1.0,до,28,0.0,13.0,ADP,до,27
398,nmod,1.0,1,22,0.0,13.0,NUM,1,28
399,nmod,1.0,март,28,0.0,13.0,NOUN,марта,29
400,case,1.0,на,31,0.0,13.0,ADP,на,30
401,mwe,1.0,то,28,0.0,13.0,NOUN,то,31
402,punct,1.0,",",31,0.0,13.0,PUNCT,",",32
403,mark,1.0,чтобы,35,0.0,13.0,SCONJ,чтобы,33
404,nsubj,1.0,они,35,0.0,13.0,PRON,они,34
405,advcl,1.0,переслать,31,0.0,13.0,VERB,перешли,35
406,case,1.0,в,38,0.0,13.0,ADP,в,36
407,amod,1.0,налоговый,38,0.0,13.0,ADJ,налоговые,37
408,nmod,1.0,юрисдикция,35,0.0,13.0,NOUN,юрисдикции,38
409,amod,1.0,непризнанный,40,0.0,13.0,ADJ,непризнанных,39
410,nmod,1.0,республика,38,0.0,13.0,NOUN,республик,40
411,punct,1.0,.,22,0.0,13.0,PUNCT,.,41
412,mark,1.0,если,4,0.0,14.0,SCONJ,Если,1
413,nsubj,1.0,это,4,0.0,14.0,NOUN,это,2
414,neg,1.0,не,4,0.0,14.0,PART,не,3
415,advcl,1.0,происходить,19,0.0,14.0,VERB,происходит,4
416,punct,1.0,(,6,0.0,14.0,PUNCT,(,5
417,case,1.0,в,7,0.0,14.0,ADP,в,6
418,parataxis,1.0,случай,4,0.0,14.0,NOUN,случае,7
